alimento,grupo,porcion
Leche entera líquida,Leche,1 vaso
Leche entera en polvo,Leche,3 cucharadas
Yogurt,Leche,1 vaso
Incaparina o bienestarina,Incaparina,1 taza
Yogurt bajo en grasa,Incaparina,1 taza
Leche de soya,Incaparina,1 taza
Leche descremada en polvo,Incaparina,3 cucharadas
Leche descremada líquida,Incaparina,1 taza
Brócoli,Vegetales,0.5 taza
Zanahoria,Vegetales,0.5 taza
Remolacha,Vegetales,0.5 taza
Guicoyitos tiernos,Vegetales,0.5 taza
Güicoy sazón,Vegetales,0.5 taza
Ejotes,Vegetales,0.5 taza
Perulero,Vegetales,0.5 taza
Güisquil,Vegetales,0.5 taza
Berenjena,Vegetales,0.5 taza
Tomate,Vegetales,0.5 taza
Cebolla,Vegetales,0.5 taza
Arvejas,Vegetales,0.5 taza
Chile pimiento,Vegetales,0.5 taza
Pepino,Vegetales,0.5 taza
Coliflor,Vegetales,0.5 taza
Apio,Vegetales,0.5 taza
Pacaya,Vegetales,0.5 taza
Arvejas chinas,Vegetales,0.5 taza
Retoño de soya,Vegetales,0.5 taza
Hojas de espinaca,Vegetales,1 taza
Acelga,Vegetales,1 taza
Macuy,Vegetales,1 taza
Lechugas,Vegetales,1 taza
Hierba mora,Vegetales,1 taza
Espárragos,Vegetales,1 taza
Hongos,Vegetales,1 taza
Rábanos,Vegetales,4 o 5 unidades
Banano,Frutas,1 unidad
Chicozapote,Frutas,1 unidad
Durazno,Frutas,1 unidad
Lima,Frutas,1 unidad
Mandarina,Frutas,1 unidad
Manzana,Frutas,1 unidad
Melocotón,Frutas,1 unidad
Naranja,Frutas,1 unidad
Pera,Frutas,1 unidad
Carambola,Frutas,2 unidades medianas
Ciruela,Frutas,2 unidades medianas
Granadilla,Frutas,2 unidades medianas
Guayaba,Frutas,2 unidades medianas
Piña,Frutas,1 rodaja
Papaya,Frutas,1 rodaja
Melón,Frutas,1 rodaja
Sandía,Frutas,1 rodaja
Uvas,Frutas,15 unidades
Zapote,Frutas,0.25 de unidad
Mamey,Frutas,0.25 de unidad
Toronja,Frutas,0.5 unidad
Mango,Frutas,0.5 unidad
Fresa,Frutas,8 unidades
Higo,Frutas,3 unidades
Jocotes,Frutas,6 unidades
Jugo de naranja,Frutas,0.5 vaso
Arroz,Cereales,0.5 taza
Fideos,Cereales,0.5 taza
Frijoles,Cereales,0.5 taza
Lentejas,Cereales,0.5 taza
Garbanzos,Cereales,0.5 taza
Pan dulce,Cereales,1 unidad
Pan integral,Cereales,1 unidad
Pan francés,Cereales,1 unidad
Pan de rodaja,Cereales,1 unidad
Tortilla,Cereales,1 unidad
Papas,Cereales,0.5 taza
Ichintal,Cereales,0.5 taza
Yuca,Cereales,0.5 taza
Camote,Cereales,0.5 taza
Plátano,Cereales,0.33 de unidad
Atol de maicena,Cereales,1 taza
Corazón de trigo,Cereales,1 taza
Avena o mosh,Cereales,1 taza
Cereal de desayuno,Cereales,0.5 taza
Galletas dulces o saladas,Cereales,4 unidades
Carne de res,Carnes huevos y quesos,1 onza
Pollo,Carnes huevos y quesos,1 onza
Pescado,Carnes huevos y quesos,1 onza
Mariscos,Carnes huevos y quesos,1 onza
Queso fresco,Carnes huevos y quesos,1 onza
Queso duro,Carnes huevos y quesos,1 onza
Queso de capas,Carnes huevos y quesos,1 onza
Queso kraft bajo en grasa,Carnes huevos y quesos,1 rodaja
Jamón bajo en grasa,Carnes huevos y quesos,1 rodaja
Huevo,Carnes huevos y quesos,1 unidad
Salchicha pequeña (pavo o pollo),Carnes huevos y quesos,1 unidad
Queso cottage,Carnes huevos y quesos,3 cucharadas
Queso ricota,Carnes huevos y quesos,3 cucharadas
Requesón,Carnes huevos y quesos,3 cucharadas
Aceite vegetal,Grasas,1 cucharada
Margarina,Grasas,1 cucharada
Crema,Grasas,1 cucharada
Mayonesa,Grasas,1 cucharada
Queso crema,Grasas,1 cucharada
Aderezos para ensalada,Grasas,1 cucharada
Aguacate,Grasas,0.25 de unidad
Azúcar blanca,Azúcares,1 cucharadita
Azúcar morena,Azúcares,1 cucharadita
Jalea,Azúcares,1 cucharadita
Miel de abeja,Azúcares,1 cucharadita
Mermelada,Azúcares,1 cucharadita
Rapadura,Azúcares,1 cucharadita
Salsa kétchup,Azúcares,1 cucharadita
